Iterations	1	2	4	6	8	10	12	16	24	32
100	0.000084	0.000118	0.000163	0.000274	0.000334	0.000868	0.000325	0.000663	0.000707	0.000955
1000	0.000771	0.001342	0.001426	0.00157	0.001972	0.002544	0.003754	0.003573	0.00519	0.007163
5000	0.0036288	0.006288	0.007264	0.0088765	0.01016	0.012815	0.014833	0.016055	0.026266	0.036422
10000	0.0090854	0.013412	0.0156465	0.01914	0.022917	0.02567	0.029649	0.034667	0.054617	0.076547
50000	0.038128	0.0699655	0.0715535	0.0871325	0.102355	0.133735	0.1503	0.172689	0.260667	0.351683
100000	0.092383	0.132208	0.1470625	0.175151	0.215878	0.253982	0.271709	0.351268	0.494537	0.730592
500000	0.4780358	0.714021	0.800212	0.981888	1.3291435	1.302984	1.459095	1.769048	2.489066	3.602886
1000000	0.8935446	1.556493	1.8723975	1.880202	2.3339295	2.779813	2.869106	3.923816	6.12602	8.137273
5000000	6.3831584	10.916216	9.330724	12.9816295	14.81818	18.547744	22.439092	29.841362	38.827908	54.633872
